userID,movieID,rating
1,6,3
1,10,3
1,12,4
1,14,4
1,17,3
1,20,3
1,23,4
1,24,3
1,27,3
1,31,3
1,33,4
1,36,2
1,39,3
1,44,3
1,47,3
1,49,3
1,51,3
1,53,3
1,54,3
1,56,4
1,60,4
1,61,4
1,62,3
1,64,4
1,65,3
1,67,3
1,69,3
1,70,3
1,72,3
1,73,3
1,74,2
1,76,3
1,78,2
1,80,2
1,81,3
1,82,3
1,84,2
1,85,3
1,86,3
1,90,3
1,91,3
1,92,3
1,96,4
1,97,3
1,98,4
1,100,4
1,102,3
1,103,2
1,104,2
1,107,3
1,108,3
1,112,2
1,113,3
1,114,4
1,117,4
1,118,3
1,120,2
1,121,3
1,125,3
1,128,3
1,129,4
1,130,3
1,132,4
1,134,4
1,140,3
1,143,3
1,145,2
1,148,3
1,150,3
1,151,3
1,154,4
1,155,2
1,157,4
1,159,3
1,160,3
1,161,3
1,163,3
1,164,3
1,170,4
1,171,4
1,174,4
1,175,3
1,177,4
1,180,4
1,183,4
1,184,3
1,185,4
1,186,3
1,188,3
1,189,4
1,190,4
1,193,4
1,196,3
1,200,3
1,201,3
1,202,3
1,206,4
1,208,4
1,209,4
1,210,4
1,212,3
1,213,4
1,214,3
1,215,3
1,218,3
1,219,3
1,221,3
1,222,4
1,224,3
1,225,3
1,226,3
1,227,3
1,228,3
1,229,3
1,230,3
1,232,3
1,233,3
1,235,3
1,236,3
1,241,3
1,242,4
1,243,2
1,248,3
1,250,3
1,252,3
1,253,3
1,254,2
1,255,3
1,258,4
1,259,3
1,260,3
1,262,3
1,264,3
1,265,3
1,266,2
1,267,3
1,272,4
2,13,3
2,19,4
2,50,4
2,251,4
2,257,3
2,279,3
2,280,3
2,281,3
2,290,3
2,292,3
2,297,4
2,298,3
2,299,2
2,301,3
2,303,4
2,307,3
2,308,3
2,312,3
2,313,4
2,314,2
2,315,4
2,316,4
3,245,2
3,264,2
3,272,3
3,294,2
3,299,2
3,300,2
3,307,2
3,318,3
3,323,2
3,324,2
3,327,2
3,328,3
3,330,2
3,331,2
3,332,3
3,334,2
3,335,3
3,337,2
3,341,2
3,343,2
3,345,3
3,348,2
3,349,2
3,350,2
3,351,3
3,354,2
4,50,5
4,260,3
4,264,3
4,288,4
4,294,4
4,303,4
4,354,4
4,356,4
4,357,5
4,361,3
5,1,3
5,2,2
5,17,2
5,24,2
5,40,2
5,42,3
5,62,2
5,69,2
5,79,3
5,80,2
5,89,3
5,90,2
5,94,2
5,98,3
5,100,3
5,102,2
5,109,2
5,110,2
5,139,2
5,143,3
5,144,3
5,153,2
5,154,2
5,167,2
5,173,3
5,176,3
5,185,3
5,209,3
5,211,3
5,214,2
5,219,2
5,222,3
5,225,2
5,227,2
5,230,3
5,231,2
5,234,3
5,241,3
5,243,2
5,259,2
5,267,3
5,363,2
5,364,2
5,369,2
5,370,2
5,372,2
5,376,2
5,377,2
5,379,2
5,382,3
5,384,2
5,385,3
5,388,1
5,389,2
5,391,2
5,393,2
5,394,2
5,397,2
5,400,2
5,402,2
5,403,2
5,407,1
5,410,2
5,411,2
5,413,2
5,417,2
5,418,2
5,421,2
5,422,2
5,423,2
5,424,1
5,426,2
5,428,3
5,429,3
5,433,3
5,435,3
5,436,3
5,439,0
5,441,2
5,444,2
5,445,3
5,453,1
5,454,2
5,457,2
6,14,4
6,15,3
6,19,4
6,23,4
6,28,3
6,32,4
6,56,4
6,59,4
6,69,3
6,70,3
6,81,3
6,86,3
6,87,3
6,95,4
6,98,4
6,100,3
